MeSH Term,Score,Total Theme Term Publication,Total Theme Publication,Total Term Publication,Total Publication
Mice,6.758910308634551e-05,2,226,58,1046
Hospital Administration,8.099448697236856e-05,12,226,19,1046
Nervous System,8.626840386283389e-05,5,226,80,1046
Equipment and Supplies,8.973027552487925e-05,17,226,33,1046
Hearing Loss,9.652456569643585e-05,6,226,6,1046
"Hydrocarbons, Cyclic",9.824484734675445e-05,9,226,12,1046
"Hydrocarbons, Aromatic",9.824484734675445e-05,9,226,12,1046
Databases as Topic,0.00010458520687335066,13,226,22,1046
Genetic Testing,0.00012024146625656597,11,226,17,1046
Hearing Disorders,0.00012891857297428762,7,226,8,1046
Genetic Phenomena,0.0001315432817661198,25,226,199,1046
Case-Control Studies,0.0001535959809486349,47,226,140,1046
"Cells, Cultured",0.00016246469433537858,3,226,62,1046
"Health Care Facilities, Manpower, and Services",0.0001702382992197254,53,226,164,1046
Health Behavior,0.000176000469004394,10,226,15,1046
Physiological Phenomena,0.00023709324525940877,22,226,178,1046
Retrospective Studies,0.0002495430661045392,39,226,112,1046
Emergency Medical Services,0.000252286877096199,9,226,13,1046
Health Services,0.0002609643961766405,40,226,116,1046
Gene Expression Regulation,0.00027297194968660155,5,226,74,1046
Exercise,0.00029600634698118047,12,226,21,1046
Motor Activity,0.0003291144381675249,13,226,24,1046
Congenital Abnormalities,0.0003497054098214755,15,226,30,1046
Pregnancy Complications,0.0003580805640688329,7,226,86,1046
Medicine,0.0003782334632397929,20,226,46,1046
Organization and Administration,0.0004146030282522986,19,226,43,1046
Epidemiologic Methods,0.00044699363856554394,99,226,365,1046
Ear,0.00045467001307687656,5,226,5,1046
Pharmacology,0.00045773545346506456,7,226,9,1046
Sense Organs,0.00045773545346506456,7,226,9,1046
Data Collection,0.0004957535006089023,43,226,131,1046
Population Characteristics,0.0005061634792072857,7,226,84,1046
"Child, Preschool",0.0005238050494515494,52,226,167,1046
Parenting,0.0005327413529784056,6,226,7,1046
Risk-Taking,0.0005327413529784056,6,226,7,1046
Gastroschisis,0.0005327413529784056,6,226,7,1046
Hospitalization,0.0005368416893513115,15,226,31,1046
Accident Prevention,0.0005580107035715349,9,226,14,1046
Hydrocarbons,0.0005580107035715349,9,226,14,1046
Immune System,0.0006945956444823341,1,226,39,1046
Growth and Development,0.0007758076244950996,6,226,75,1046
Musculoskeletal Abnormalities,0.0008071827561533319,11,226,20,1046
Central Nervous System,0.0008250996406507584,5,226,68,1046
Methylation,0.0008712640916347816,1,226,38,1046
Alkylation,0.0008712640916347816,1,226,38,1046
Intercellular Signaling Peptides and Proteins,0.0009873054193779455,5,226,67,1046
Biological Factors,0.001084717038060249,10,226,98,1046
Preventive Health Services,0.0011016926439215138,9,226,15,1046
Enzymes and Coenzymes,0.0011732990798795,7,226,79,1046
Quality Improvement,0.0012035602730132524,7,226,10,1046
Female Urogenital Diseases,0.0012203329443700507,3,226,52,1046
Movement,0.001310774636930273,13,226,27,1046
DNA Methylation,0.0013667703223533367,1,226,36,1046
"Receptors, Cell Surface",0.0013721537967094658,2,226,44,1046
"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",0.0016095014662890624,22,226,58,1046
Skeleton,0.0016797504065036157,6,226,8,1046
Pediatric Obesity,0.0016797504065036157,6,226,8,1046
Brain,0.0019935600910780406,5,226,63,1046
Reproducibility of Results,0.002117657949172898,11,226,22,1046
Mobility Limitation,0.002134081773090565,4,226,4,1046
Migraine Disorders,0.002134081773090565,4,226,4,1046
Orthopedic Equipment,0.002134081773090565,4,226,4,1046
Personal Protective Equipment,0.002134081773090565,4,226,4,1046
"Headache Disorders, Primary",0.002134081773090565,4,226,4,1046
Protective Devices,0.002134081773090565,4,226,4,1046
"Accidents, Traffic",0.002134081773090565,4,226,4,1046
Treatment Failure,0.002134081773090565,4,226,4,1046
Genetics,0.0021488726842826445,5,226,6,1046
Life Style,0.0021488726842826445,5,226,6,1046
Pharmacogenetics,0.0021488726842826445,5,226,6,1046
Reconstructive Surgical Procedures,0.0021488726842826445,5,226,6,1046
Enzymes,0.002237226394345671,7,226,75,1046
Environment and Public Health,0.002288491085283941,76,226,280,1046
Epidemiologic Studies,0.002366933225131082,75,226,276,1046
Public Health,0.002366933225131082,75,226,276,1046
Length of Stay,0.002610134211768846,7,226,11,1046
"Hospitals, Special",0.002610134211768846,7,226,11,1046
"Hospitals, Pediatric",0.002610134211768846,7,226,11,1046
Embryonic Structures,0.002663940967838545,1,226,33,1046
Epidemiologic Study Characteristics,0.0027110987124225067,82,226,308,1046
Antineoplastic Agents,0.0033347277777938935,9,226,17,1046
Hominidae,0.003627544031566808,222,226,993,1046
Humans,0.003627544031566808,222,226,993,1046
Musculoskeletal Physiological Phenomena,0.003869806111882209,13,226,30,1046
Patient Care,0.0038891492786544976,22,226,62,1046
Bone Diseases,0.003971201828092363,6,226,9,1046
Behavior,0.004057318314704058,29,226,89,1046
Computing Methodologies,0.00411588375364872,15,226,37,1046
Virus Diseases,0.004601234288367071,3,226,45,1046
Cytokines,0.004625812221211452,2,226,38,1046
Obstetric Surgical Procedures,0.004625812221211452,2,226,38,1046
Safety,0.0049388278650513125,7,226,12,1046
Risk,0.0055724120244856085,32,226,103,1046
Quinolones,0.005922830336054038,5,226,7,1046
Health Promotion,0.005922830336054038,5,226,7,1046
Brain Diseases,0.0060022029845336585,16,226,42,1046
Primates,0.006084564893024756,222,226,996,1046
Catarrhini,0.006084564893024756,222,226,996,1046
Haplorhini,0.006084564893024756,222,226,996,1046
"Nucleic Acids, Nucleotides, and Nucleosides",0.006618794518157783,3,226,43,1046
Cross-Sectional Studies,0.006910058763398945,15,226,39,1046
Risk Factors,0.007163965323380136,24,226,73,1046
"Models, Theoretical",0.007201298454810358,4,226,49,1046
Bacterial Infections and Mycoses,0.007564513265146426,6,226,61,1046
Adult,0.00772240561593805,53,226,303,1046
Drug Administration Routes,0.007821774092457715,6,226,10,1046
Anesthesia and Analgesia,0.007821774092457715,6,226,10,1046
Patient Safety,0.007821774092457715,6,226,10,1046
Psychometrics,0.007821774092457715,6,226,10,1046
Phosphotransferases,0.007902348480613074,1,226,28,1046
Animal Population Groups,0.007902348480613074,1,226,28,1046
Genetic Association Studies,0.008341318537547058,8,226,16,1046
Genome-Wide Association Study,0.008397058800068441,4,226,5,1046
Headache Disorders,0.008397058800068441,4,226,5,1046
Medical Errors,0.008397058800068441,4,226,5,1046
Ethics,0.008397058800068441,4,226,5,1046
Surveys and Questionnaires,0.008475711430482195,25,226,78,1046
Transferases,0.009445560597081498,3,226,41,1046
Embryonic and Fetal Development,0.009445560597081498,3,226,41,1046
Naphthacenes,0.009981377979073808,3,226,3,1046
"Bone Diseases, Developmental",0.009981377979073808,3,226,3,1046
Slipped Capital Femoral Epiphyses,0.009981377979073808,3,226,3,1046
Orthotic Devices,0.009981377979073808,3,226,3,1046
Orthopedic Procedures,0.009981377979073808,3,226,3,1046
Airway Management,0.009981377979073808,3,226,3,1046
Gait,0.009981377979073808,3,226,3,1046
"Ear, External",0.009981377979073808,3,226,3,1046
Pharmacogenomic Variants,0.009981377979073808,3,226,3,1046
Cisplatin,0.009981377979073808,3,226,3,1046
Cardiotoxicity,0.009981377979073808,3,226,3,1046
"Biomarkers, Tumor",0.009981377979073808,3,226,3,1046
Head Protective Devices,0.009981377979073808,3,226,3,1046
Nitrogen Compounds,0.009981377979073808,3,226,3,1046
Fluoroquinolones,0.009981377979073808,3,226,3,1046
Hip Joint,0.009981377979073808,3,226,3,1046
Probability,0.010270013403377121,34,226,116,1046
Nucleic Acids,0.01124769929617891,3,226,40,1046
Therapeutics,0.01151246926704179,43,226,155,1046
"Disease Models, Animal",0.012082539365222888,1,226,26,1046
"Receptors, Immunologic",0.012082539365222888,1,226,26,1046
Cerebral Palsy,0.012434713416470204,5,226,8,1046
"Brain Damage, Chronic",0.012434713416470204,5,226,8,1046
Quinolines,0.012434713416470204,5,226,8,1046
Benzene Derivatives,0.012434713416470204,5,226,8,1046
Internet,0.012434713416470204,5,226,8,1046
Peripheral Nervous System Agents,0.012434713416470204,5,226,8,1046
Computer Communication Networks,0.012434713416470204,5,226,8,1046
Treatment Outcome,0.013046772190180921,22,226,69,1046
Pharmacological and Toxicological Phenomena,0.013363457527944196,3,226,39,1046
Behavior and Behavior Mechanisms,0.013816384174257191,43,226,157,1046
Phosphotransferases (Alcohol Group Acceptor),0.014901759629750396,1,226,25,1046
RNA,0.014901759629750396,1,226,25,1046
Registries,0.015610020489337063,9,226,21,1046
Biological Therapy,0.01583972388613552,3,226,38,1046
Outcome Assessment (Health Care),0.016246855618146268,27,226,91,1046
Pathologic Processes,0.016768427863433754,23,226,145,1046
Epidemiologic Research Design,0.017049660517439374,17,226,51,1046
Organic Chemicals,0.017365715457843496,19,226,59,1046
Protein Kinases,0.0183443091693108,1,226,24,1046
Obstetric Labor Complications,0.0183443091693108,1,226,24,1046
Cellular Structures,0.0183443091693108,1,226,24,1046
Fetal Development,0.018728399927644166,3,226,37,1046
Overweight,0.01963447354386077,7,226,15,1046
Morals,0.01981899468949871,4,226,6,1046
Motor Skills,0.01981899468949871,4,226,6,1046
Health Services Research,0.01981899468949871,4,226,6,1046
Polycyclic Aromatic Hydrocarbons,0.01981899468949871,4,226,6,1046
Mutation,0.020476700449007887,6,226,54,1046
Biomarkers,0.020476700449007887,6,226,54,1046
Infant,0.02088386930324639,55,226,215,1046
Complex Mixtures,0.021157988539800367,2,226,30,1046
Immunomodulation,0.021157988539800367,2,226,30,1046
Musculoskeletal System,0.021345464371301318,6,226,12,1046
Alcohols,0.022021302444919417,5,226,9,1046
Computer Simulation,0.022021302444919417,5,226,9,1046
Evidence-Based Medicine,0.022021302444919417,5,226,9,1046
Pharmacological Phenomena,0.022086378430416588,3,226,36,1046
Neurodevelopmental Disorders,0.022086378430416588,3,226,36,1046
"Heterocyclic Compounds, 2-Ring",0.023115080832856936,10,226,26,1046
Delivery of Health Care,0.023198779398343645,18,226,57,1046
Cardiovascular Diseases,0.023265218827397405,17,226,53,1046
Demography,0.023381760581704564,6,226,53,1046
Hospitals,0.02398229425627791,8,226,19,1046
Nervous System Diseases,0.024074171404795282,35,226,129,1046
Outcome and Process Assessment (Health Care),0.02490026804011273,27,226,95,1046
Nutritional and Metabolic Diseases,0.024971665790871258,7,226,58,1046
Musculoskeletal and Neural Physiological Phenomena,0.02644566883289805,13,226,38,1046
Pediatrics,0.026961476717549934,9,226,23,1046
Sepsis,0.027627317583203494,1,226,22,1046
Protein-Serine-Threonine Kinases,0.027627317583203494,1,226,22,1046
"Surgical Procedures, Operative",0.02919755678046517,28,226,101,1046
Health Surveys,0.030178225033447543,18,226,59,1046
Biological Products,0.030230961599322682,2,226,28,1046
"Epigenesis, Genetic",0.03046115241189008,3,226,34,1046
"Models, Biological",0.03046115241189008,3,226,34,1046
Surgical Equipment,0.031207198670504355,6,226,13,1046
Population Surveillance,0.031207198670504355,6,226,13,1046
Neoplasms,0.03137165458816729,14,226,43,1046
Fatal Outcome,0.03138918482393297,3,226,4,1046
Clinical Competence,0.03138918482393297,3,226,4,1046
Disabled Children,0.03138918482393297,3,226,4,1046
Myocardial Ischemia,0.03138918482393297,3,226,4,1046
Patient Participation,0.03138918482393297,3,226,4,1046
Pharmacogenomic Testing,0.03138918482393297,3,226,4,1046
Digestive System Surgical Procedures,0.03138918482393297,3,226,4,1046
Drug-Related Side Effects and Adverse Reactions,0.03138918482393297,3,226,4,1046
Glioma,0.03138918482393297,3,226,4,1046
Self-Help Devices,0.03138918482393297,3,226,4,1046
Neurocutaneous Syndromes,0.03138918482393297,3,226,4,1046
Neurofibromatoses,0.03138918482393297,3,226,4,1046
Blood Pressure Determination,0.03138918482393297,3,226,4,1046
Joints,0.03138918482393297,3,226,4,1046
Osteochondrodysplasias,0.03138918482393297,3,226,4,1046
"Databases, Genetic",0.03138918482393297,3,226,4,1046
Bone and Bones,0.03138918482393297,3,226,4,1046
"Psychology, Social",0.033314605058793766,19,226,64,1046
RNA Virus Infections,0.033788523351048594,1,226,21,1046
Carbohydrates,0.033788523351048594,1,226,21,1046
Antidepressive Agents,0.03465647597888957,5,226,10,1046
"Practice Patterns, Physicians'",0.03465647597888957,5,226,10,1046
Sequence Analysis,0.035472600170000784,10,226,28,1046
Viruses,0.035613237870088764,3,226,33,1046
Nutrition Disorders,0.035613237870088764,3,226,33,1046
Morphogenesis,0.035613237870088764,3,226,33,1046
Health,0.035613237870088764,3,226,33,1046
Vaccines,0.03598109149202404,2,226,27,1046
Immunization,0.03598109149202404,2,226,27,1046
"Pathological Conditions, Signs and Symptoms",0.03618510848895598,38,226,206,1046
Health Education,0.03637293704874026,4,226,7,1046
Community Participation,0.03637293704874026,4,226,7,1046
Analgesics,0.03637293704874026,4,226,7,1046
Sensory System Agents,0.03637293704874026,4,226,7,1046
Anesthesia,0.03637293704874026,4,226,7,1046
Program Evaluation,0.03637293704874026,4,226,7,1046
Consumer Organizations,0.03637293704874026,4,226,7,1046
Disabled Persons,0.03637293704874026,4,226,7,1046
Psychomotor Performance,0.03637293704874026,4,226,7,1046
Pharmacologic Actions,0.03953624044351751,39,226,154,1046
Genes,0.04005507021822834,8,226,21,1046
Cytological Techniques,0.041218744376881104,1,226,20,1046
Circulatory and Respiratory Physiological Phenomena,0.041218744376881104,1,226,20,1046
Hydrolases,0.041218744376881104,1,226,20,1046
"Cell Line, Tumor",0.041218744376881104,1,226,20,1046
Lipids,0.041218744376881104,1,226,20,1046
Therapeutic Uses,0.0414706028534707,27,226,101,1046
Gestational Age,0.041503072290851636,3,226,32,1046
Food,0.041503072290851636,3,226,32,1046
Cohort Studies,0.04190915680915087,37,226,146,1046
Statistics as Topic,0.04221614181553181,44,226,178,1046
Musculoskeletal Diseases,0.0426544170589328,10,226,29,1046
Genome,0.0426571369996463,12,226,37,1046
"Heterocyclic Compounds, 1-Ring",0.04269113312146906,2,226,26,1046
Dyskinesias,0.04269113312146906,2,226,26,1046
Copying Processes,0.04357325501905772,23,226,84,1046
Bayes Theorem,0.04652035093818328,2,226,2,1046
Ambulances,0.04652035093818328,2,226,2,1046
Bevacizumab,0.04652035093818328,2,226,2,1046
Fires,0.04652035093818328,2,226,2,1046
Testicular Neoplasms,0.04652035093818328,2,226,2,1046
Airway Obstruction,0.04652035093818328,2,226,2,1046
Benchmarking,0.04652035093818328,2,226,2,1046
"Administrative Claims, Healthcare",0.04652035093818328,2,226,2,1046
Sedentary Behavior,0.04652035093818328,2,226,2,1046
Sensory Aids,0.04652035093818328,2,226,2,1046
"Infant, Very Low Birth Weight",0.04652035093818328,2,226,2,1046
Adrenal Glands,0.04652035093818328,2,226,2,1046
Neurosurgery,0.04652035093818328,2,226,2,1046
Intestinal Perforation,0.04652035093818328,2,226,2,1046
Marketing of Health Services,0.04652035093818328,2,226,2,1046
Vascular Endothelial Growth Factor A,0.04652035093818328,2,226,2,1046
Trauma Centers,0.04652035093818328,2,226,2,1046
General Surgery,0.04652035093818328,2,226,2,1046
Biomechanical Phenomena,0.04652035093818328,2,226,2,1046
"Genital Neoplasms, Male",0.04652035093818328,2,226,2,1046
Angiogenic Proteins,0.04652035093818328,2,226,2,1046
Hexanols,0.04652035093818328,2,226,2,1046
Hearing Aids,0.04652035093818328,2,226,2,1046
Out-of-Hospital Cardiac Arrest,0.04652035093818328,2,226,2,1046
Macular Degeneration,0.04652035093818328,2,226,2,1046
"Ear, Inner",0.04652035093818328,2,226,2,1046
Plagiocephaly,0.04652035093818328,2,226,2,1046
"Fractures, Bone",0.04652035093818328,2,226,2,1046
Chromosome Mapping,0.04652035093818328,2,226,2,1046
External Fixators,0.04652035093818328,2,226,2,1046
Joint Dislocations,0.04652035093818328,2,226,2,1046
Labor Presentation,0.04652035093818328,2,226,2,1046
Social Marketing,0.04652035093818328,2,226,2,1046
"Anesthetics, General",0.04652035093818328,2,226,2,1046
Patient Positioning,0.04652035093818328,2,226,2,1046
Ethanolamines,0.04652035093818328,2,226,2,1046
Perioperative Period,0.04652035093818328,2,226,2,1046
Facial Injuries,0.04652035093818328,2,226,2,1046
Indomethacin,0.04652035093818328,2,226,2,1046
Wheelchairs,0.04652035093818328,2,226,2,1046
"Genital Diseases, Male",0.04652035093818328,2,226,2,1046
Maxillofacial Injuries,0.04652035093818328,2,226,2,1046
"Hernia, Umbilical",0.04652035093818328,2,226,2,1046
Ear Canal,0.04652035093818328,2,226,2,1046
Intravitreal Injections,0.04652035093818328,2,226,2,1046
Surgically-Created Structures,0.04652035093818328,2,226,2,1046
"Infant, Extremely Low Birth Weight",0.04652035093818328,2,226,2,1046
Otolaryngology,0.04652035093818328,2,226,2,1046
Orthopedics,0.04652035093818328,2,226,2,1046
"Plagiocephaly, Nonsynostotic",0.04652035093818328,2,226,2,1046
Orthopedic Fixation Devices,0.04652035093818328,2,226,2,1046
Surgical Flaps,0.04652035093818328,2,226,2,1046
Equipment Design,0.04652035093818328,2,226,2,1046
Citalopram,0.04652035093818328,2,226,2,1046
Prostheses and Implants,0.04652035093818328,2,226,2,1046
Hip Dislocation,0.04652035093818328,2,226,2,1046
Pharmacoepidemiology,0.04652035093818328,2,226,2,1046
Cyclohexanols,0.04652035093818328,2,226,2,1046
Myocardial Infarction,0.04652035093818328,2,226,2,1046
"Injections, Intraocular",0.04652035093818328,2,226,2,1046
Information Dissemination,0.04652035093818328,2,226,2,1046
Venlafaxine Hydrochloride,0.04652035093818328,2,226,2,1046
Epinephrine,0.04652035093818328,2,226,2,1046
"Range of Motion, Articular",0.04652035093818328,2,226,2,1046
"Hip Dislocation, Congenital",0.04652035093818328,2,226,2,1046
Dementia,0.04652035093818328,2,226,2,1046
Mandibular Fractures,0.04652035093818328,2,226,2,1046
Vascular Endothelial Growth Factors,0.04652035093818328,2,226,2,1046
Benzofurans,0.04652035093818328,2,226,2,1046
Laryngeal Diseases,0.04652035093818328,2,226,2,1046
Cochlear Implants,0.04652035093818328,2,226,2,1046
Fatty Alcohols,0.04652035093818328,2,226,2,1046
Complementary Therapies,0.04652035093818328,2,226,2,1046
Aripiprazole,0.04652035093818328,2,226,2,1046
Comparative Effectiveness Research,0.04652035093818328,2,226,2,1046
Jaw Fractures,0.04652035093818328,2,226,2,1046
"Hearing Loss, Sensorineural",0.04652035093818328,2,226,2,1046
Vascular Diseases,0.04739975678049256,7,226,18,1046
Aged,0.04741990106802578,5,226,42,1046
Infection,0.04741990106802578,5,226,42,1046
Socioeconomic Factors,0.04820245158148745,3,226,31,1046
Investigative Techniques,0.04921427098901014,101,226,448,1046
Chemical Actions and Uses,0.049321235205313556,40,226,163,1046
"Polymorphism, Genetic",0.04955663530692864,8,226,22,1046
Phenotype,0.04967357202941107,7,226,52,1046
Software,0.049983157521033626,5,226,11,1046
Disease Management,0.049983157521033626,5,226,11,1046
Psychotropic Drugs,0.049983157521033626,5,226,11,1046
Computer Systems,0.049983157521033626,5,226,11,1046
Bacterial Infections,0.05014347624850879,1,226,19,1046
Early Diagnosis,0.05014347624850879,1,226,19,1046
Perception,0.05014347624850879,1,226,19,1046
Risk Assessment,0.050392607764314416,10,226,30,1046
Immunotherapy,0.050482749059380265,2,226,25,1046
Magnetic Resonance Imaging,0.05156524710324736,4,226,36,1046
Natural Science Disciplines,0.053021659703920136,17,226,60,1046
Community Health Services,0.05578096011838079,3,226,30,1046
Alleles,0.056364822031972024,6,226,15,1046
Physical Examination,0.05732310878942802,11,226,35,1046
Heart Diseases,0.05857408476541984,10,226,31,1046
Attitude to Health,0.05857408476541984,10,226,31,1046
Genetic Structures,0.058733660116181904,14,226,48,1046
Psychological Tests,0.059061418731594616,7,226,19,1046
"Delivery, Obstetric",0.05948107766364875,2,226,24,1046
Growth,0.05948107766364875,2,226,24,1046
Patient Care Management,0.059490749791360764,9,226,27,1046
Biological Science Disciplines,0.059490749791360764,9,226,27,1046
"Quality Assurance, Health Care",0.059490749791360764,9,226,27,1046
Genome Components,0.059809954773427286,8,226,23,1046
Postoperative Complications,0.059809954773427286,8,226,23,1046
"Sequence Analysis, DNA",0.059809954773427286,8,226,23,1046
Uterine Neoplasms,0.06081502815117039,1,226,18,1046
"Genital Neoplasms, Female",0.06081502815117039,1,226,18,1046
Immunologic Techniques,0.06081502815117039,1,226,18,1046
Amino Acids,0.06081502815117039,1,226,18,1046
Transplantation,0.06081502815117039,1,226,18,1046
Urogenital Neoplasms,0.06081502815117039,1,226,18,1046
"Pathological Conditions, Anatomical",0.06167884445969555,3,226,5,1046
Anthracyclines,0.06167884445969555,3,226,5,1046
Phenols,0.06167884445969555,3,226,5,1046
Exome,0.06167884445969555,3,226,5,1046
Dopamine Agents,0.06167884445969555,3,226,5,1046
Respiratory Hypersensitivity,0.06167884445969555,3,226,5,1046
Asthma,0.06167884445969555,3,226,5,1046
Diagnosis,0.06285063544102305,48,226,236,1046
Incidence,0.06499113770404942,11,226,36,1046
Drug Therapy,0.06499113770404942,11,226,36,1046
Attitude,0.06738930057494223,5,226,12,1046
Video Recording,0.06900078907674177,9,226,28,1046
Neurotransmitter Agents,0.07059679412406007,8,226,24,1046
Biomedical Research,0.07093985748660223,6,226,16,1046
Communications Media,0.071487718275977,7,226,20,1046
Family Relations,0.071487718275977,7,226,20,1046
"Adaptor Proteins, Signal Transducing",0.07351003921009008,1,226,17,1046
Mood Disorders,0.07351003921009008,1,226,17,1046
Body Weight Changes,0.07351003921009008,1,226,17,1046
Genitalia,0.07351003921009008,1,226,17,1046
Social Sciences,0.07364143215252976,25,226,102,1046
Hemic and Lymphatic Diseases,0.07382185339809447,3,226,28,1046
Urogenital System,0.07382185339809447,3,226,28,1046
Transcription Factors,0.07530106237386025,4,226,33,1046
Diagnostic Techniques and Procedures,0.07759547254660394,41,226,189,1046
Young Adult,0.07810817875823414,34,226,149,1046
Obesity,0.07872393563180916,9,226,29,1046
Patient Acuity,0.07872393563180916,9,226,29,1046
Central Nervous System Agents,0.08062643163268969,11,226,38,1046
"Tomography, X-Ray",0.08094316574348759,4,226,9,1046
Binding Sites,0.08094316574348759,4,226,9,1046
Records,0.08094316574348759,4,226,9,1046
"Respiration, Artificial",0.08094316574348759,4,226,9,1046
Medical Records,0.08094316574348759,4,226,9,1046
Self Concept,0.08094316574348759,4,226,9,1046
Eye Diseases,0.08094316574348759,4,226,9,1046
Intellectual Disability,0.08094316574348759,4,226,9,1046
Personality Development,0.08094316574348759,4,226,9,1046
"Tomography, X-Ray Computed",0.08094316574348759,4,226,9,1046
Neuroimaging,0.08158692223789782,2,226,22,1046
Cell Line,0.0843777689930212,3,226,27,1046
Disease Attributes,0.08472233854322522,4,226,32,1046
Evidence-Based Practice,0.08610221443140285,5,226,13,1046
Communication,0.08621728487118381,6,226,17,1046
"Social Control, Formal",0.08621728487118381,6,226,17,1046
"Infant, Newborn",0.08805712374905478,30,226,139,1046
Middle Aged,0.08832441651276818,21,226,107,1046
Health Status Indicators,0.08846628530053004,9,226,30,1046
Psychophysiology,0.08852359855186588,1,226,16,1046
Premature Birth,0.08852359855186588,1,226,16,1046
Pain,0.08852359855186588,1,226,16,1046
"Obstetric Labor, Premature",0.08852359855186588,1,226,16,1046
Body Constitution,0.09285665790151311,5,226,36,1046
Genotype,0.09392904307163061,14,226,54,1046
Blood Proteins,0.09488527984703897,4,226,31,1046
Anti-Infective Agents,0.0949115824467657,2,226,21,1046
Hormones,0.09598809354287648,3,226,26,1046
"Hormones, Hormone Substitutes, and Hormone Antagonists",0.09598809354287648,3,226,26,1046
Carrier Proteins,0.09598809354287648,3,226,26,1046
Gene Components,0.09693236266672614,3,226,6,1046
"Neoplasms, Neuroepithelial",0.09693236266672614,3,226,6,1046
Behavior Therapy,0.09693236266672614,3,226,6,1046
Respiration Disorders,0.09693236266672614,3,226,6,1046
Indoles,0.09693236266672614,3,226,6,1046
Extremities,0.09693236266672614,3,226,6,1046
"Hypersensitivity, Immediate",0.09693236266672614,3,226,6,1046
"Antibodies, Monoclonal, Humanized",0.09693236266672614,3,226,6,1046
"Analgesics, Opioid",0.09693236266672614,3,226,6,1046
Clinical Medicine,0.09693236266672614,3,226,6,1046
Narcotics,0.09693236266672614,3,226,6,1046
Precision Medicine,0.09693236266672614,3,226,6,1046
Enteral Nutrition,0.09693236266672614,3,226,6,1046
Disability Evaluation,0.09693236266672614,3,226,6,1046
Quality of Life,0.09727281109865324,7,226,22,1046
Neoplasms by Histologic Type,0.09727281109865324,7,226,22,1046
"Diet, Food, and Nutrition",0.09915091218119274,8,226,49,1046
Parents,0.10120147778167952,10,226,36,1046
Genetic Techniques,0.10166851174384743,17,226,71,1046
Biology,0.10167606918482174,6,226,18,1046
Genetic Variation,0.1022343552926714,15,226,78,1046
Health Personnel,0.10367074649783728,8,226,27,1046
Central Nervous System Diseases,0.1045635759383995,17,226,72,1046
Diagnostic Imaging,0.1045635759383995,17,226,72,1046
Male Urogenital Diseases,0.1052823463113034,5,226,14,1046
"Trauma, Nervous System",0.1052823463113034,5,226,14,1046
Professional Practice,0.1052823463113034,5,226,14,1046
Craniocerebral Trauma,0.1052823463113034,5,226,14,1046
Amines,0.1052823463113034,5,226,14,1046
Vital Statistics,0.10534619190600157,18,226,88,1046
Patient Compliance,0.10602487959007133,4,226,10,1046
Respiratory Therapy,0.10602487959007133,4,226,10,1046
Thoracic Surgical Procedures,0.10602487959007133,4,226,10,1046
"Polymorphism, Single Nucleotide",0.10602487959007133,4,226,10,1046
