MeSH Term,Index,Score,Total PI Term Publication,Total PI Publication,Total Term Publication,Total Publication
Emergency Medical Services,N02.421.297,0.16702459663248595,1,16,13,1046
Health Surveys,E05.318.308.980.438,0.1703102089140288,2,16,59,1046
Craniocerebral Trauma,C10.900.300,0.1772607454915623,1,16,14,1046
"Trauma, Nervous System",C10.900,0.1772607454915623,1,16,14,1046
Professional Practice,N04.452.758,0.1772607454915623,1,16,14,1046
Health Care Economics and Organizations,N03,0.18032263210039826,2,16,62,1046
Quality of Health Care,N04.761,0.1859483564894698,6,16,339,1046
Environment,G16.500.275,0.18716172982238252,1,16,15,1046
Personality,F01.752,0.18716172982238252,1,16,15,1046
Decision Making,F02.463.785.373,0.18716172982238252,1,16,15,1046
Psychophysiology,E02.190.525.812,0.19673463174863565,1,16,16,1046
Chemically-Induced Disorders,C25,0.19673463174863565,1,16,16,1046
Epidemiologic Methods,E05.318,0.20263996609909715,5,16,365,1046
"Emergency Service, Hospital",N02.278.216.500.968.336,0.2059864120644847,1,16,17,1046
Continental Population Groups,M01.686.508,0.2059864120644847,1,16,17,1046
Thinking,F02.463.785,0.2059864120644847,1,16,17,1046
Clinical Trials as Topic,E05.318.760.250.500,0.2059864120644847,1,16,17,1046
Risk Factors,E05.318.740.600.800.725,0.21388197147176677,2,16,73,1046
Pilot Projects,E05.318.760.750,0.22355385509552397,1,16,19,1046
Learning,F02.463.425,0.22355385509552397,1,16,19,1046
Death,C23.550.260,0.22355385509552397,1,16,19,1046
Psychological Tests,F04.711,0.22355385509552397,1,16,19,1046
Perception,F02.463.593,0.22355385509552397,1,16,19,1046
Clinical Studies as Topic,E05.318.760.250,0.2318828487230772,1,16,20,1046
Pathologic Processes,C23.550,0.23606909531879566,1,16,145,1046
Exercise,G11.427.410.698.277,0.23991738602532417,1,16,21,1046
Infant,M01.060.703,0.2459390963511262,3,16,215,1046
Reproducibility of Results,E05.318.780.725,0.24766384750210002,1,16,22,1046
Vital Statistics,E05.318.308.985,0.25027423686940314,2,16,88,1046
Statistics as Topic,E05.318.740,0.2562396551751323,2,16,178,1046
Health Services Administration,H02.269,0.2562396551751323,2,16,178,1046
Motor Activity,F01.145.632,0.2623175118995933,1,16,24,1046
Nervous System Diseases,C10,0.27404482058261326,1,16,129,1046
Risk,E05.318.740.600.800,0.2749385910319537,2,16,103,1046
"Heterocyclic Compounds, 1-Ring",D03.383,0.27589269658496124,1,16,26,1046
Epidemiologic Measurements,N06.850.505,0.27589269658496124,1,16,26,1046
Population Groups,M01.686,0.27589269658496124,1,16,26,1046
Movement,G07.568,0.2822906607025989,1,16,27,1046
Probability,E05.318.740.600,0.28705174526164556,2,16,116,1046
"Infant, Newborn",M01.060.703.520,0.28996841539545615,2,16,139,1046
Musculoskeletal Physiological Phenomena,G11.427,0.29999461094114876,1,16,30,1046
Risk Assessment,E05.318.740.600.800.715,0.29999461094114876,1,16,30,1046
Socioeconomic Factors,N01.824,0.30541774186728304,1,16,31,1046
Pharmacological Phenomena,G07.690.773,0.3291853387059896,1,16,36,1046
Computing Methodologies,L01.224,0.33330468219089676,1,16,37,1046
Musculoskeletal and Neural Physiological Phenomena,G11,0.3372240231354178,1,16,38,1046
Pharmacological and Toxicological Phenomena,G07.690,0.34094806662399035,1,16,39,1046
Aged,M01.060.116.100,0.3509941867702342,1,16,42,1046
Behavioral Disciplines and Activities,F04,0.36641105667953267,1,16,48,1046
Demography,N01.224,0.3750174529566251,1,16,53,1046
Heterocyclic Compounds,D03,0.38269848529952805,1,16,66,1046
"Psychology, Social",F01.829,0.38270988207216117,1,16,64,1046
Hominidae,B01.050.150.900.649.801.400.112.400,0.43250833607497563,16,16,993,1046
Humans,B01.050.150.900.649.801.400.112.400.400,0.43250833607497563,16,16,993,1046
Haplorhini,B01.050.150.900.649.801.400,0.4540625289479387,16,16,996,1046
Primates,B01.050.150.900.649.801,0.4540625289479387,16,16,996,1046
Catarrhini,B01.050.150.900.649.801.400.112,0.4540625289479387,16,16,996,1046
Mammals,B01.050.150.900.649,0.7211802377546946,16,16,1025,1046
Vertebrates,B01.050.150.900,0.732604875184472,16,16,1026,1046
Chordata,B01.050.150,0.732604875184472,16,16,1026,1046
Animals,B01.050,0.8303049659518773,16,16,1034,1046
Eukaryota,B01,0.8974345198849437,16,16,1039,1046
